Comment,Designator,Footprint,LCSC
"10u","C10","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"22p","C17","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
"10uf","C19","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"10uf 16v","C23","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
".002u","C3","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
"56pf","C30","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
"0.1uf","C33,C49","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
"25uf","C35","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
"47uf","C36","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"100pf","C37","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
"470pf","C44","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
".02u","C6,C13,C14,C15,C16","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
".1u","C2,C4,C5,C27,C28,C59,C60,C61,C68,C69","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
".01u","C1,C7,C11,C12,C18,C20,C21,C22,C29,C31,C32,C34,C38,C39,C40,C41,C42,C43,C45,C46,C47,C50,C51,C52,C53,C55,C56,C57,C62,C65,C66,C70,C71,C72,C73,C74,C75,C76","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
"100uf","C26,C63","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"4.7uf","C58,C64","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"47p","C67","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
"8-70pf","C77","Capacitor_THT:C_Radial_D6.3mm_H7.0mm_P2.50mm",""
"10nf","C78","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
"1u","C8,C48","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
"1u","C9,C24,C25,C54","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"1N914","D1,D8,D12,D13,D14","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"1N4148","D5,D6,D7,D11","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"BZX 61","D2,D3","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"1N4002","D4","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"MountingHole","H1,H2,H3,H4,H5,H6,H7,H8","MountingHole:MountingHole_3.2mm_M3",""
"6847","IC10","Package_DIP:DIP-40_W15.24mm_Socket_LongPads",""
"6551","IC11","Package_DIP:DIP-28_W15.24mm_Socket_LongPads",""
"4164","IC15,IC16,IC21,IC22,IC26,IC27,IC32,IC33","Package_DIP:DIP-16_W7.62mm_Socket_LongPads",""
"LM393","IC2","Package_DIP:DIP-8_W7.62mm_Socket_LongPads",""
"74LS273","IC20","Package_DIP:DIP-20_W7.62mm_Socket_LongPads",""
"74LS244","IC1,IC25","Package_DIP:DIP-20_W7.62mm_Socket_LongPads",""
"74LS00","U3,IC35","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"74LS02","IC36","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"27C128","IC34,IC37","Package_DIP:DIP-28_W15.24mm_Socket_LongPads",""
"MC6809E","IC38","Package_DIP:DIP-40_W15.24mm_Socket_LongPads",""
"6883","IC39","Package_DIP:DIP-40_W15.24mm_Socket_LongPads",""
"4050","IC4","Package_DIP:DIP-16_W7.62mm_Socket_LongPads",""
"74LS138","IC40","Package_DIP:DIP-16_W7.62mm_Socket_LongPads",""
"6821","IC5,IC8","Package_DIP:DIP-40_W15.24mm_Socket_LongPads",""
"4529","IC6","Package_DIP:DIP-16_W7.62mm_Socket_LongPads",""
"4069","IC7","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
